Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,5276
design__instance__area,45099.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,4
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,55
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.001998994732275605
power__switching__total,0.0007723981980234385
power__leakage__total,4.898647176787563E-8
power__total,0.002771441824734211
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2976903530165149
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.30313610812862024
timing__hold__ws__corner:nom_tt_025C_1v80,0.3245985794251909
timing__setup__ws__corner:nom_tt_025C_1v80,12.746509097889366
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.324599
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,12.746510
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,79
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,55
design__max_cap_violation__count__corner:nom_ss_100C_1v60,1
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.3220930002767786
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.3251677630304382
timing__hold__ws__corner:nom_ss_100C_1v60,0.8760743489735267
timing__setup__ws__corner:nom_ss_100C_1v60,5.813850898597888
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.876074
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,5.813851
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,4
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,55
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2859877693387256
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.29074152242001094
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11868151242134209
timing__setup__ws__corner:nom_ff_n40C_1v95,13.97241206728085
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.118682
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,18.549549
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,146
design__max_fanout_violation__count,55
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.28301886635345797
clock__skew__worst_setup,0.2874980057618356
timing__hold__ws,0.1149664285201204
timing__setup__ws,5.5026029734660025
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.114966
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,5.502603
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 334.88 225.76
design__core__bbox,2.76 2.72 332.12 223.04
design__io,45
design__die__area,75602.5
design__core__area,72564.6
design__instance__count__stdcell,5276
design__instance__area__stdcell,45099.5
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.621508
design__instance__utilization__stdcell,0.621508
design__instance__count__class:buffer,2
design__instance__count__class:inverter,33
design__instance__count__class:sequential_cell,641
design__instance__count__class:multi_input_combinational_cell,2588
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,4106
design__instance__count__class:tap_cell,1037
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,131342
design__violations,0
design__instance__count__class:timing_repair_buffer,803
design__instance__count__class:clock_buffer,66
design__instance__count__class:clock_inverter,42
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,305
antenna__violating__nets,10
antenna__violating__pins,14
route__antenna_violation__count,10
antenna_diodes_count,64
design__instance__count__class:antenna_cell,64
route__net,4144
route__net__special,2
route__drc_errors__iter:1,4125
route__wirelength__iter:1,177313
route__drc_errors__iter:2,2808
route__wirelength__iter:2,175910
route__drc_errors__iter:3,2479
route__wirelength__iter:3,175682
route__drc_errors__iter:4,614
route__wirelength__iter:4,175509
route__drc_errors__iter:5,165
route__wirelength__iter:5,175600
route__drc_errors__iter:6,38
route__wirelength__iter:6,175650
route__drc_errors__iter:7,21
route__wirelength__iter:7,175649
route__drc_errors__iter:8,0
route__wirelength__iter:8,175653
route__drc_errors,0
route__wirelength,175653
route__vias,36463
route__vias__singlecut,36463
route__vias__multicut,0
design__disconnected_pin__count,15
design__critical_disconnected_pin__count,0
route__wirelength__max,876.23
timing__unannotated_net__count__corner:nom_tt_025C_1v80,82
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,82
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,82
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,4
design__max_fanout_violation__count__corner:min_tt_025C_1v80,55
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2932041081805787
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2993770038832272
timing__hold__ws__corner:min_tt_025C_1v80,0.32030123904223723
timing__setup__ws__corner:min_tt_025C_1v80,12.962665974183539
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
