Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,5
design__inferred_latch__count,0
design__instance__count,5491
design__instance__area,21551.9
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,3
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.013365796767175198
power__switching__total,0.016660263761878014
power__leakage__total,3.016058514049291E-8
power__total,0.030026089400053024
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2626761660311935
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2624108227208037
timing__hold__ws__corner:nom_tt_025C_1v80,0.3371171215380053
timing__setup__ws__corner:nom_tt_025C_1v80,6.431374725927561
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.337117
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,18.326012
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,13
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,3
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2701775268871044
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2699219535396076
timing__hold__ws__corner:nom_ss_100C_1v60,0.8765280971365238
timing__setup__ws__corner:nom_ss_100C_1v60,-2.1488571530394744
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-11.900472055741192
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-2.1488571530394744
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.876528
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,6
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,12.153753
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,3
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2598066002538636
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25953626093972165
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12742079974029663
timing__setup__ws__corner:nom_ff_n40C_1v95,9.82965203722045
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.127421
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,18.822847
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,22
design__max_fanout_violation__count,3
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2586655407524581
clock__skew__worst_setup,0.2584972031815884
timing__hold__ws,0.12442131010983548
timing__setup__ws,-2.3767406493406
timing__hold__tns,0.0
timing__setup__tns,-13.262479490016819
timing__hold__wns,0
timing__setup__wns,-2.3767406493406
timing__hold_vio__count,0
timing__hold_r2r__ws,0.124421
timing__hold_r2r_vio__count,0
timing__setup_vio__count,18
timing__setup_r2r__ws,12.026963
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1030.4 225.76
design__core__bbox,2.76 2.72 1027.64 223.04
design__io,45
design__die__area,232623
design__core__area,225802
design__instance__count__stdcell,5491
design__instance__area__stdcell,21551.9
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.0954463
design__instance__utilization__stdcell,0.0954463
design__instance__count__class:buffer,3
design__instance__count__class:inverter,44
design__instance__count__class:sequential_cell,42
design__instance__count__class:multi_input_combinational_cell,2022
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,18846
design__instance__count__class:tap_cell,3278
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,42093.3
design__violations,0
design__instance__count__class:timing_repair_buffer,94
design__instance__count__class:clock_buffer,6
design__instance__count__class:clock_inverter,2
design__instance__count__setup_buffer,24
design__instance__count__hold_buffer,7
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,2229
route__net__special,2
route__drc_errors__iter:1,773
route__wirelength__iter:1,46104
route__drc_errors__iter:2,404
route__wirelength__iter:2,45816
route__drc_errors__iter:3,357
route__wirelength__iter:3,45745
route__drc_errors__iter:4,5
route__wirelength__iter:4,45719
route__drc_errors__iter:5,0
route__wirelength__iter:5,45719
route__drc_errors,0
route__wirelength,45719
route__vias,14957
route__vias__singlecut,14957
route__vias__multicut,0
design__disconnected_pin__count,17
design__critical_disconnected_pin__count,0
route__wirelength__max,247.9
timing__unannotated_net__count__corner:nom_tt_025C_1v80,36
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,36
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,36
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,3
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.26125455316353063
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2610899070843222
timing__hold__ws__corner:min_tt_025C_1v80,0.33312964440998805
timing__setup__ws__corner:min_tt_025C_1v80,6.563881179931741
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
